rect1_col,rect1_loc,rect2_col,rect2_loc,rect3_col,rect3_loc,rect4_col,rect4_loc,rect5_col,rect5_loc,rect6_col,rect6_loc,rect7_col,rect7_loc,rect8_col,rect8_loc,corr_col,probe_loc,nBlock,Block1.thisRepN,Block1.thisTrialN,Block1.thisN,Block1.thisIndex,Block2.thisRepN,Block2.thisTrialN,Block2.thisN,Block2.thisIndex,Block3.thisRepN,Block3.thisTrialN,Block3.thisN,Block3.thisIndex,thisRow.t,notes,Instruction.started,key_instruct.started,Instruction.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,fixation.started,rect1.started,rect2.started,rect3.started,rect4.started,rect5.started,rect6.started,rect7.started,rect8.started,fixation.stopped,rect1.stopped,rect2.stopped,rect3.stopped,rect4.stopped,rect5.stopped,rect6.stopped,rect7.stopped,rect8.stopped,probe.started,slider.started,colobar.started,trial.stopped,slider.response,slider.rt,Rest.started,key_instruct_2.started,Rest.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007255699994857423,0.022816899996541906,4.382025799997791,space,4.344756400001643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#FF3000,"(-0.2, -0.3)",#FDFF00,"(-0.25, 0.15)",#BBFF00,"(0.25, -0.25)",#FF000C,"(0.05, -0.2)",#FF007E,"(-0.25, -0.05)",#6200FF,"(-0.15, -0.1)",#808080,"(0, 0)",#808080,"(0, 0)",0.03515625,"(-0.2, -0.3)",6,0,0,0,52,,,,,,,,,4.455285099997127,,,,,,,,4.446393599995645,4.455285099997127,6.395948199999111,6.395948199999111,6.395948199999111,6.395948199999111,6.395948199999111,6.395948199999111,6.395948199999111,6.395948199999111,6.463043199997628,6.896016299993789,6.896016299993789,6.896016299993789,6.896016299993789,6.896016299993789,6.896016299993789,6.896016299993789,6.896016299993789,7.877890899995691,7.877890899995691,7.877890899995691,11.467296399998304,0.015740740740740722,6.999507699998503,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#D3FF00,"(0.05, 0)",#00FFCF,"(0.25, 0.1)",#FFD700,"(0.3, 0.15)",#00FF70,"(0.35, 0.2)",#B5FF00,"(0.25, -0.05)",#DF00FF,"(0.1, 0.2)",#00FFFF,"(-0.2, -0.1)",#808080,"(0, 0)",0.19921875,"(0.05, 0)",7,0,1,1,62,,,,,,,,,11.485408699998516,,,,,,,,11.47139949999837,11.485408699998516,13.478685199996107,13.478685199996107,13.478685199996107,13.478685199996107,13.478685199996107,13.478685199996107,13.478685199996107,13.478685199996107,13.495391599994036,13.980435699995724,13.980435699995724,13.980435699995724,13.980435699995724,13.980435699995724,13.980435699995724,13.980435699995724,13.980435699995724,14.878569199994672,14.878569199994672,14.878569199994672,16.904622800000652,0.21203703703703702,5.40593539999827,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#00FF1C,"(0.25, 0.05)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.35546875,"(0.25, 0.05)",1,0,2,2,4,,,,,,,,,16.92563909999444,,,,,,,,16.905558499995095,16.92563909999444,18.91169919999811,18.91169919999811,18.91169919999811,18.91169919999811,18.91169919999811,18.91169919999811,18.91169919999811,18.91169919999811,18.928661899997678,19.41113100000075,19.41113100000075,19.41113100000075,19.41113100000075,19.41113100000075,19.41113100000075,19.41113100000075,19.41113100000075,20.311060199994245,20.311060199994245,20.311060199994245,21.83555979999801,0.3148148148148148,4.903184899994812,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#0800FF,"(-0.15, 0.15)",#FF004E,"(0, -0.1)",#FF3C00,"(-0.1, 0.05)",#8000FF,"(0.15, -0.1)",#A3FF00,"(0.25, -0.05)",#00FF4C,"(0.35, 0.05)",#FFB900,"(0.1, -0.3)",#00FF8D,"(-0.25, -0.05)",0.67578125,"(-0.15, 0.15)",8,0,3,3,71,,,,,,,,,21.84441649999644,,,,,,,,21.8359352999978,21.84441649999644,23.843597099999897,23.843597099999897,23.843597099999897,23.843597099999897,23.843597099999897,23.843597099999897,23.843597099999897,23.843597099999897,23.843597099999897,24.343708699998388,24.343708699998388,24.343708699998388,24.343708699998388,24.343708699998388,24.343708699998388,24.343708699998388,24.343708699998388,25.2436688999951,25.2436688999951,25.2436688999951,27.34681609999825,0.7092592592592593,5.490579500001331,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#00FFB7,"(-0.05, 0.2)",#0E00FF,"(0, 0.1)",#FF0012,"(-0.25, -0.05)",#FD00FF,"(0.05, -0.05)",#FF2400,"(0.35, 0.2)",#FF00EF,"(0.3, -0.3)",#FF4200,"(0.1, -0.15)",#808080,"(0, 0)",0.45703125,"(-0.05, 0.2)",7,0,4,4,65,,,,,,,,,27.36448599999858,,,,,,,,27.34727019999991,27.36448599999858,29.360971899994183,29.360971899994183,29.360971899994183,29.360971899994183,29.360971899994183,29.360971899994183,29.360971899994183,29.360971899994183,29.37635529999534,29.860419699994964,29.860419699994964,29.860419699994964,29.860419699994964,29.860419699994964,29.860419699994964,29.860419699994964,29.860419699994964,30.759468899996136,30.759468899996136,30.759468899996136,34.55240679999406,0.8481481481481481,7.183799300000828,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#00FF6A,"(-0.2, -0.05)",#A3FF00,"(-0.25, 0)",#007CFF,"(0, -0.3)",#FF0012,"(0.2, 0.05)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.40625,"(-0.2, -0.05)",4,0,5,5,32,,,,,,,,,34.56251309999789,,,,,,,,34.55294189999404,34.56251309999789,36.55928289999429,36.55928289999429,36.55928289999429,36.55928289999429,36.55928289999429,36.55928289999429,36.55928289999429,36.55928289999429,36.57593819999602,37.05877689999761,37.05877689999761,37.05877689999761,37.05877689999761,37.05877689999761,37.05877689999761,37.05877689999761,37.05877689999761,37.963287499995204,37.963287499995204,37.963287499995204,39.749380099994596,0.4287037037037037,5.171449699999357,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#5000FF,"(-0.35, -0.15)",#00FF16,"(-0.15, -0.15)",#00FF2E,"(0.3, 0.15)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.72265625,"(-0.35, -0.15)",3,0,6,6,22,,,,,,,,,39.75987659999373,,,,,,,,39.75021939999715,39.75987659999373,41.75827279999794,41.75827279999794,41.75827279999794,41.75827279999794,41.75827279999794,41.75827279999794,41.75827279999794,41.75827279999794,41.774942599993665,42.25977620000049,42.25977620000049,42.25977620000049,42.25977620000049,42.25977620000049,42.25977620000049,42.25977620000049,42.25977620000049,43.1578348999974,43.1578348999974,43.1578348999974,44.653494799997134,0.6518518518518519,4.881670899994788,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#D3FF00,"(-0.3, 0)",#005EFF,"(0.15, 0.1)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",#808080,"(0, 0)",0.19921875,"(-0.3, 0)",2,0,7,7,12,,,,,,,,,44.67113539999991,,,,,,,,44.65431049999461,44.67113539999991,46.65715479999926,46.65715479999926,46.65715479999926,46.65715479999926,46.65715479999926,46.65715479999926,46.65715479999926,46.65715479999926,46.67439889999514,47.16138099999807,47.16138099999807,47.16138099999807,47.16138099999807,47.16138099999807,47.16138099999807,47.16138099999807,47.16138099999807,48.06125899999461,48.06125899999461,48.06125899999461,49.92634309999994,0.175,5.246780600005877,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
#FF008F,"(-0.1, -0.05)",#26FF00,"(0.3, 0.1)",#D300FF,"(0.2, -0.1)",#0081FF,"(0.25, 0.15)",#D3FF00,"(0.35, 0)",#6800FF,"(-0.3, 0.25)",#808080,"(0, 0)",#808080,"(0, 0)",0.91015625,"(-0.1, -0.05)",6,0,8,8,57,,,,,,,,,49.94260609999765,,,,,,,,49.926780800000415,49.94260609999765,51.9400977999976,51.9400977999976,51.9400977999976,51.9400977999976,51.9400977999976,51.9400977999976,51.9400977999976,51.9400977999976,51.95721549999871,52.43999459999759,52.43999459999759,52.43999459999759,52.43999459999759,52.43999459999759,52.43999459999759,52.43999459999759,52.43999459999759,53.3401298999961,53.3401298999961,53.3401298999961,55.3259659999967,0.8185185185185185,5.382027999999991,,,,,,,774942,001,2024-10-09_20h21.45.031,WorkingMemory,2023.2.1,61.02524858639031,2024-10-09 20h22.42.352854 -0400,
